id,gen,sp,common_name,author,latitude,longitude,type,url,file-name,license,time,secondary_labels,scientific_name,rating,filename,primary_label,au_len,sample_rate,duration_s,all_labels
799076,Actitis,hypoleucos,Common Sandpiper,Antoine Salmon,48.9525,4.3751,['nocturnal flight call'],https://xeno-canto.org/799076,XC799076-Chevalier-guignette-20230508-00h54.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,01:00,[],Actitis hypoleucos,,CommonSandpiper/799076.mp3,comsan,232938.0,44100.0,5.28204081632653,['comsan']
798969,Actitis,hypoleucos,Common Sandpiper,Feliu López i Gelats,41.4875,2.3653,['nocturnal flight call'],https://xeno-canto.org/798969,XC798969-xivitona-Xeno.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,21:30,[],Actitis hypoleucos,,CommonSandpiper/798969.mp3,comsan,475926.0,44100.0,10.791972789115649,['comsan']
798968,Actitis,hypoleucos,Common Sandpiper,Mark Pearson,54.2187,-0.2838,"['call', 'flight call', 'nocturnal flight call']",https://xeno-canto.org/798968,XC798968-Common-Sand-05.05.23.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,23:11,[],Actitis hypoleucos,,CommonSandpiper/798968.mp3,comsan,139967.0,44100.0,3.1738548752834466,['comsan']
798923,Actitis,hypoleucos,Common Sandpiper,Xavier Riera,40.8846,0.8014,['nocturnal flight call'],https://xeno-canto.org/798923,XC798923-Actitis-hypoleucos_NFC_L-Ametlla_230505_0307.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,04:00,[],Actitis hypoleucos,,CommonSandpiper/798923.mp3,comsan,391096.0,48000.0,8.147833333333333,['comsan']
798782,Actitis,hypoleucos,Common Sandpiper,Diego Fernandez Martinez,50.7788,4.3266,"['flight call', 'nocturnal flight call']",https://xeno-canto.org/798782,XC798782-27avril_chevalierguignette_04h45.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,04:45,[],Actitis hypoleucos,,CommonSandpiper/798782.mp3,comsan,106349.0,44100.0,2.411541950113379,['comsan']
798523,Actitis,hypoleucos,Common Sandpiper,Juha Saari,60.2357,25.0058,['nocturnal flight call'],https://xeno-canto.org/798523,XC798523-acthyp_202305_04_05_yom_0229_pm_vol.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,02:29,[],Actitis hypoleucos,,CommonSandpiper/798523.mp3,comsan,1700975.0,44100.0,38.57086167800453,['comsan']
798345,Actitis,hypoleucos,Common Sandpiper,Dean McDonnell,53.93,-6.5882,['nocturnal flight call'],https://xeno-canto.org/798345,XC798345-common-sandpiper_xeno-canto.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,00:30,[],Actitis hypoleucos,,CommonSandpiper/798345.mp3,comsan,420891.0,44100.0,9.544013605442176,['comsan']
798224,Actitis,hypoleucos,Common Sandpiper,Julien Piette,51.0445,2.3912,['nocturnal flight call'],https://xeno-canto.org/798224,XC798224-230502_guignette--.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,04:02,[],Actitis hypoleucos,,CommonSandpiper/798224.mp3,comsan,750187.0,44100.0,17.011043083900226,['comsan']
798040,Actitis,hypoleucos,Common Sandpiper,Martin Billard,49.1144,-0.4023,"['flight call', 'nocturnal flight call']",https://xeno-canto.org/798040,XC798040-05-02-2023_3h29_limicole-sp_export.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,03:29,[],Actitis hypoleucos,,CommonSandpiper/798040.mp3,comsan,137620.0,44100.0,3.1206349206349207,['comsan']
797126,Actitis,hypoleucos,Common Sandpiper,Hans Norelius,58.6397,16.7958,['nocturnal flight call'],https://xeno-canto.org/797126,XC797126-Drillsnäppa_Nävekvarn_nocmig_230429-0338.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,03:30,[],Actitis hypoleucos,,CommonSandpiper/797126.mp3,comsan,166858.0,44100.0,3.783628117913832,['comsan']
796765,Actitis,hypoleucos,Common Sandpiper,Mark Pearson,54.2187,-0.2838,"['call', 'flight call', 'nocturnal flight call']",https://xeno-canto.org/796765,XC796765-Common-Sand-28.04.23.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,02:28,[],Actitis hypoleucos,,CommonSandpiper/796765.mp3,comsan,189257.0,44100.0,4.291541950113379,['comsan']
796622,Actitis,hypoleucos,Common Sandpiper,Thijs Calu,50.8148,3.3977,"['flight call', 'nocturnal flight call']",https://xeno-canto.org/796622,XC796622-230428_1u08-oeverloper_bew.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,01:08,[],Actitis hypoleucos,,CommonSandpiper/796622.mp3,comsan,123264.0,44100.0,2.7951020408163267,['comsan']
796523,Actitis,hypoleucos,Common Sandpiper,Xavier Riera,40.8846,0.8014,['nocturnal flight call'],https://xeno-canto.org/796523,XC796523-Actitis-hypoleucos_NFC_L-Ametlla_230427_0349.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,04:00,[],Actitis hypoleucos,,CommonSandpiper/796523.mp3,comsan,317928.0,48000.0,6.6235,['comsan']
796485,Actitis,hypoleucos,Common Sandpiper,Marcel Gil Velasco,40.7762,0.7233,['call'],https://xeno-canto.org/796485,XC796485-Actitis-hypoleucos_27042023.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,19:30,[],Actitis hypoleucos,,CommonSandpiper/796485.mp3,comsan,733824.0,48000.0,15.288,['comsan']
796357,Actitis,hypoleucos,Common Sandpiper,Martin Billard,49.1144,-0.4023,['nocturnal flight call'],https://xeno-canto.org/796357,XC796357-04-20-2023_3h24_chevalier-guignette_export.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,03:24,[],Actitis hypoleucos,,CommonSandpiper/796357.mp3,comsan,196805.0,44100.0,4.462698412698413,['comsan']
796316,Actitis,hypoleucos,Common Sandpiper,Beatrix Saadi-Varchmin,47.9618,10.9616,['flight call'],https://xeno-canto.org/796316,XC796316-FLUSSUFERLÄUFER-(4)-10.09.2021--KiesG-Thaining-N--19_50---VOC_210910-8853.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,19:50,[],Actitis hypoleucos,,CommonSandpiper/796316.mp3,comsan,1190418.0,44100.0,26.99360544217687,['comsan']
795992,Actitis,hypoleucos,Common Sandpiper,Ricardo Hevia,43.7412,-7.867,['nocturnal flight call'],https://xeno-canto.org/795992,XC795992-ZOOM0001act.wav,//creativecommons.org/licenses/by-nc-sa/4.0/,02:30,[],Actitis hypoleucos,,CommonSandpiper/795992.mp3,comsan,375350.0,44100.0,8.511337868480725,['comsan']
